Date,EventCode,EventName,Fans,PPV,_id,numOfFights
11/2/2019,UFC244MASVIDALVSDIAZ,UFC 244 MASVIDAL VS DIAZ,Yes,Yes,6399269d7c5b58ec499b193a,12
8/20/2016,UFC202DIAZVSMCGREGOR2,UFC 202 DIAZ VS MCGREGOR 2,Yes,Yes,6399264ddb4bd347851e845c,1
7/25/2020,UFCONESPN14WHITTAKERVSTILL,UFC ON ESPN 14 WHITTAKER VS TILL,No,No,63992bfc3307aeeba2099550,15
3/23/2019,UFCFIGHTNIGHT148THOMPSONVSPETTIS,UFC FIGHT NIGHT 148 THOMPSON VS PETTIS,Yes,No,639927625d33a758c13b213b,12
7/10/2021,UFC264POIRIERVSMCGREGOR3,UFC 264 POIRIER VS MCGREGOR 3,Yes,Yes,639926e09847e504331686ae,12
4/30/2022,UFCONESPN35FONTVSVERA,UFC ON ESPN 35 FONT VS VERA,No,No,63992c11331c786de0a093c0,11
12/16/2017,UFCONFOX26LAWLERVSDOSANJOS,UFC ON FOX 26 LAWLER VS DOS ANJOS,Yes,No,63992c2dca03ce90ca57b0fc,11
12/10/2022,UFC282BLACHOWICZVSANKALAEV,UFC 282 BLACHOWICZ VS ANKALAEV,Yes,Yes,63a08fa6ed0398437c9f8db7,12
2/27/2021,UFCFIGHTNIGHT186ROZENSTRUIKVSGANE,UFC FIGHT NIGHT 186 ROZENSTRUIK VS GANE,No,No,639927cf6f02807521cb9c45,9
10/2/2021,UFCFIGHTNIGHT193SANTOSVSWALKER,UFC FIGHT NIGHT 193 SANTOS VS WALKER,No,No,63992b6f537ffdcd4c5b11f1,12
7/15/2020,UFCONESPN13KATTARVSIGE,UFC ON ESPN 13 KATTAR VS IGE,No,No,63992bf22d3e7d8e51501b64,11
12/5/2020,UFCONESPN19HERMANSSONVSVETTORI,UFC ON ESPN 19 HERMANSSON VS VETTORI,No,No,63992c060176bcead72e1f88,8
7/2/2022,UFC276ADESANYAVSCANNONIER,UFC 276 ADESANYA VS CANNONIER,Yes,Yes,63992704c234716d30f11e85,12
7/22/2018,UFCFIGHTNIGHT134SHOGUNVSSMITH,UFC FIGHT NIGHT 134 SHOGUN VS SMITH,Yes,No,63992735cc5a35873935510b,13
11/16/2019,UFCFIGHTNIGHT164BLACHOWICZVSJACARE,UFC FIGHT NIGHT 164 BLACHOWICZ VS JACARE,Yes,No,639927972a07aeb5e2806e80,12
10/10/2020,UFCFIGHTNIGHT179MORAESVSSANDHAGEN,UFC FIGHT NIGHT 179 MORAES VS SANDHAGEN,No,No,639927b40d149c106a915e69,13
3/2/2019,UFC235JONESVSSMITH,UFC 235 JONES VS SMITH,Yes,Yes,6399267fdb25e1f11faa00f1,12
10/30/2021,UFC267BLACHOWICZVSTEIXEIRA,UFC 267 BLACHOWICZ VS TEIXEIRA,Yes,Yes,639926e93e5c45ac07b9b7ab,14
7/6/2019,UFC239JONESVSSANTOS,UFC 239 JONES VS SANTOS,Yes,Yes,63992688d450c07a4dad81d0,12
2/29/2020,UFCFIGHTNIGHT169BENAVIDEZVSFIGUEIREDO,UFC FIGHT NIGHT 169 BENAVIDEZ VS FIGUEIREDO,Yes,No,639927aa053e48e084a98873,12
5/14/2022,UFCONESPN36BLACHOWICZVSRAKIC,UFC ON ESPN 36 BLACHOWICZ VS RAKIC,No,No,63992c1a8c58f77e71e4fea8,11
1/19/2019,UFCFIGHTNIGHT143CEJUDOVSDILLASHAW,UFC FIGHT NIGHT 143 CEJUDO VS DILLASHAW,Yes,No,63a22472fe3bf9a873f37902,13
4/27/2019,UFCFIGHTNIGHT150JACAREVSHERMANSSON,UFC FIGHT NIGHT 150 JACARE VS HERMANSSON,Yes,No,63a27258bd05445bc1d73e78,13
5/21/2022,UFCFIGHTNIGHT206HOLMVSVIERA,UFC FIGHT NIGHT 206 HOLM VS VIERA,No,No,63992b89c82d349ebfc0b3f1,11
3/6/2021,UFC259BLACHOWICZVSADESANYA,UFC 259 BLACHOWICZ VS ADESANYA,No,Yes,639926d50c7d6667a8e78b44,15
6/5/2021,UFCFIGHTNIGHT189ROZENSTRUIKVSSAKAI,UFC FIGHT NIGHT 189 ROZENSTRUIK VS SAKAI,No,No,639927d8010f773e50c14941,13
11/7/2020,UFCONESPN17SANTOSVSTEIXEIRA,UFC ON ESPN 17 SANTOS VS TEIXEIRA,No,No,63a37ab72d34ce34dbfc274e,10
7/23/2022,UFCFIGHTNIGHT208BLAYDESVSASPINALL,UFC FIGHT NIGHT 208 BLAYDES VS ASPINALL,Yes,No,63992b922a0d6497063b9a84,14
9/14/2019,UFCFIGHTNIGHT158COWBOYVSGAETHJE,UFC FIGHT NIGHT 158 COWBOY VS GAETHJE,Yes,No,63a24b3a7810d7d5f3a1008b,12
6/12/2022,UFC275TEIXEIRAVSPROCHAZKA,UFC 275 TEIXEIRA VS PROCHAZKA,Yes,Yes,63a3f1d2d26e41950b55476a,11
9/26/2020,UFC253ADESANYAVSCOSTA,UFC 253 ADESANYA VS COSTA,No,Yes,639926c1a94a037b60877fec,11
9/15/2018,UFCFIGHTNIGHT136HUNTVSOLEYNIK,UFC FIGHT NIGHT 136 HUNT VS OLEYNIK,Yes,No,6399273eb36e9462e9a45104,12
2/23/2019,UFCFIGHTNIGHT145BLACHOWICZVSSANTOS,UFC FIGHT NIGHT 145 BLACHOWICZ VS SANTOS,Yes,No,63992749175bc3b2aeebb93f,13
2/20/2021,UFCFIGHTNIGHT185BLAYDESVSLEWIS,UFC FIGHT NIGHT 185 BLAYDES VS LEWIS,No,No,639927c66328b88d3b9b526b,12
8/3/2019,UFCONESPN5COVINGTONVSLAWLER,UFC ON ESPN 5 COVINGTON VS LAWLER,Yes,No,63992bdf280aa3fa5d49d29a,12
10/24/2020,UFC254NURMAGOMEDOVVSGAETHJE,UFC 254 NURMAGOMEDOV VS GAETHJE,No,Yes,639926ca970163ab7b6e4871,12
3/5/2022,UFC272COVINGTONVSMASVIDAL,UFC 272 COVINGTON VS MASVIDAL,Yes,Yes,639926fc593df2c0d6c1fef8,13
