_id,actualRounds,eventCode,fightCode,fighterA,fighterB,finalRoundTime,gender,isTitleFight,methodOfFinish,scheduledRounds,weightClass
6399633d5743e327a1f2d810,3,UFC244MASVIDALVSDIAZ,FIGHTDarrenTillKelvinGastelumUFC244MASVIDALVSDIAZ,DarrenTillThe Gorilla,KelvinGastelum,5:00,Male,No,SD,3,Middleweight
639963cbc917e83bfe941dde,1,UFCFIGHTNIGHT136HUNTVSOLEYNIK,FIGHTMagomedAnkalaevMarcinPrachnioUFCFIGHTNIGHT136HUNTVSOLEYNIK,MagomedAnkalaev,MarcinPrachnio,3:09,Male,No,TKO,3,Light Heavyweight
63996336c35c0fc313a41956,2,UFC239JONESVSSANTOS,FIGHTJanBlachowiczLukeRockholdUFC239JONESVSSANTOS,JanBlachowicz,LukeRockhold,1:39,Male,No,KO,3,Light Heavyweight
63996257673d3172188e77e4,1,UFC202DIAZVSMCGREGOR2,FIGHTAnthony JohnsonGlover TeixeiraUFC202DIAZVSMCGREGOR2,AnthonyJohnsonRumble,GloverTeixeira,0:13,Male,No,KO,3,Light Heavyweight
639963c41c329a46f9ca9f1e,3,UFCFIGHTNIGHT134SHOGUNVSSMITH,FIGHTCoreyAndersonGloverTeixeiraUFCFIGHTNIGHT134SHOGUNVSSMITH,CoreyAndersonOvertime,GloverTeixeira,5:00,Male,No,UD,3,Light Heavyweight
63996446fd40959177bb521e,3,UFCFIGHTNIGHT186ROZENSTRUIKVSGANE,FIGHTMagomedAnkalaevNikitaKrylovUFCFIGHTNIGHT186ROZENSTRUIKVSGANE,MagomedAnkalaev,NikitaKrylovThe Miner,5:00,Male,No,UD,3,Light Heavyweight
639963a71a7e28218655556a,2,UFC277PENAVSNUNES2,FIGHTMagomedAnkalaevAnthonySmithUFC277PENAVSNUNES2,MagomedAnkalaev,AnthonySmithLionheart,3:09,Male,No,TKO,3,Light Heavyweight
63996411f040b18047aed795,1,UFCFIGHTNIGHT167ANDERSONVSBLACHOWICZ2,FIGHTJanBlachowiczCoreyAndersonUFCFIGHTNIGHT167ANDERSONVSBLACHOWICZ2,JanBlachowicz,CoreyAndersonOvertime,3:08,Male,No,KO,5,Light Heavyweight
639963644f69f3dc6ef0ebd9,1,UFC264POIRIERVSMCGREGOR3,FIGHTIliaTopuriaRyanHallUFC264POIRIERVSMCGREGOR3,IliaTopuriaEl Matador,RyanHallThe Wizard,4:47,Male,No,KO,3,Featherweight
639963894a3509283f68c34d,3,UFC276ADESANYAVSCANNONIER,FIGHTDricusDuPlessisBradTavaresUFC276ADESANYAVSCANNONIER,DricusDu PlessisStillknocks,BradTavares,5:00,Male,No,UD,3,Middleweight
63996492885657393c2f5ad3,1,UFCONABC1HOLLOWAYVSKATTAR,FIGHTJingliangLiSantiagoPonzinibbioUFCONABC1HOLLOWAYVSKATTAR,JingliangLiThe Leech,SantiagoPonzinibbioArgentine Dagger,4:25,Male,No,KO,3,Welterweight
63a1428cb162fcdbcf7f308d,3,UFC282BLACHOWICZVSANKALAEV,FIGHTPaddyPimblettJaredGordonUFC282BLACHOWICZVSANKALAEV,PaddyPimblettThe Baddy,JaredGordonFlash,5:00,Male,No,UD,3,Lightweight
639964d1ac5b84ab8a45abb3,3,UFCONESPN36BLACHOWICZVSRAKIC,FIGHTJanBlachowiczAleksandarRakicUFCONESPN36BLACHOWICZVSRAKIC,JanBlachowicz,AleksandarRakicRocket,1:11,Male,No,TKO,5,Light Heavyweight
63a0fd09d125133057e6507a,5,UFC282BLACHOWICZVSANKALAEV,FIGHTMagomedAnkalaevJanBlachowiczUFC282BLACHOWICZVSANKALAEV,MagomedAnkalaev,JanBlachowicz,5:00,Male,Yes,Split Draw,5,Light Heavyweight
63a25e565224a2b85c0da9f2,3,UFCFIGHTNIGHT158COWBOYVSGAETHJE,FIGHTGloverTeixeiraNikitaKrylovUFCFIGHTNIGHT158COWBOYVSGAETHJE,GloverTeixeira,NikitaKrylovThe Miner,5:00,Male,No,SD,3,Light Heavyweight
6399649b7d37b141211358ee,3,UFCONESPN3NGANNOUVSDOSSANTOS,FIGHTJaredGordonDanMoretUFCONESPN3NGANNOUVSDOSSANTOS,JaredGordonFlash,DanMoretThe Hitman,5:00,Male,No,UD,3,Lightweight
639964a5bb1551b8b034c064,5,UFCONESPN5COVINGTONVSLAWLER,FIGHTColbyCovingtonRobbieLawlerUFCONESPN5COVINGTONVSLAWLER,ColbyCovingtonChaos,RobbieLawlerRuthless,5:00,Male,No,UD,5,Welterweight
63a0ba6026094044dfaaaa5a,3,UFC282BLACHOWICZVSANKALAEV,FIGHTDricusDuPlessisDarrenTillUFC282BLACHOWICZVSANKALAEV,DricusDu PlessisStillknocks,DarrenTillThe Gorilla,2:43,Male,No,SUB,3,Middleweight
