AmericanaWin,AnacondaWin,ArmTriangleWin,BeingClinched,BodyKicksAbsorbed,BulldogWin,CalfSlicerWin,CenterOctagon,CrossesAbsorbed,DEC,DarceWin,EzekielWin,FightsTracked,GogoplataWin,GuillotineWin,HeadKicksAbsorbed,HeelHookWin,HooksAbsorbed,InClinch,JabsAbsorbed,KO,KimuraWin,KneeBarWin,LegKicksAbsorbed,LeglockWin,MinutesTracked,NeckCrankWin,OmoplataWin,OnBottomGround,OnTopGround,OtherSubWin,PushedBackToCage,PushingAgainstCage,RNCWin,RoundsTracked,SUB,StraightArmLockWin,StraightsAbsorbed,SulovStretchWin,TKO,TimesKnockedDown,TimesStunned,TotalBodyKickAttempt,TotalBodyKickMake,TotalCrossAttempt,TotalCrossMake,TotalHeadKickAttempt,TotalHeadKickMake,TotalHookAttempt,TotalHookMake,TotalJabAttempt,TotalJabMake,TotalKnockDowns,TotalLegKickAttempt,TotalLegKickMake,TotalPositionPoints,TotalStraightAttempt,TotalStraightMake,TotalStuns,TotalTDAttempt,TotalTDMake,TotalUppercutAttempt,TotalUppercutMake,TriangleArmBarWin,TriangleWin,TwisterWin,UppercutsAbsorbed,_id,gymCode,gymCountry,gymLoss,gymName,gymState,gymWins,round1StrikesLanded,round2StrikesLanded,round3StrikesLanded,round4StrikesLanded,round5StrikesLanded
0,0,0,0,23,0,0,0,0,2,0,0,11,0,0,6,0,114,0,69,1,0,0,34,0,0,0,0,0,0,0,0,0,0,21,4,0,32,0,1,3,4,34,20,0,0,16,2,218,74,177,39,4,42,36,0,65,26,0,22,13,22,9,0,0,0,12,6399761ad70fe689f91d2c47,AllstarsTrainingCenter,Sweden,4,Allstars Training Center,Stockholm,7,362,100,66,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639975fc20d237dc777fcc30,AllstarBJJ,USA,0,Allstar BJJ,New Jersey,0,0,0,0,0,0
0,0,0,0,17,0,0,0,1,0,0,0,8,0,0,7,0,68,0,32,0,0,0,65,0,0,0,0,0,0,0,0,0,0,19,3,0,20,0,1,4,5,46,28,7,2,13,2,188,70,204,54,2,39,30,0,59,28,2,4,2,8,4,0,0,0,15,639979023867e6195d268d9e,FactoryX,USA,4,FactoryX Muay Thai,Colorado,4,170,70,11,9,10
0,0,0,0,90,0,0,0,3,2,0,0,19,0,0,16,0,270,0,206,3,0,0,77,0,0,0,0,0,0,0,0,0,0,42,3,0,139,0,3,5,8,53,40,8,4,29,7,688,304,570,161,12,47,37,0,392,169,15,25,14,50,30,0,0,0,22,63997960e358ad5785b9a6d1,Fortis MMA,USA,8,FortisMMA,Texas,11,299,247,175,31,49
0,0,0,0,34,0,0,0,0,5,0,0,13,0,0,5,0,200,0,145,0,0,0,137,0,0,0,0,0,0,0,0,0,0,40,1,0,107,0,2,4,4,116,88,0,0,63,11,366,138,418,97,0,300,244,0,134,59,2,40,18,24,12,0,0,0,18,639979b91650d45d87be4ea5,JacksonMMA,USA,5,"Jackson's MMA",New Mexico,8,242,226,246,108,134
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997a899f40c584feb2b19a,NDA,USA,0,Nick Diaz Academy,California,0,0,0,0,0,0
0,0,0,0,22,0,0,0,0,0,0,0,13,0,0,2,0,30,0,10,1,0,0,54,0,0,0,0,0,0,0,0,0,0,24,2,0,15,0,3,6,5,33,24,0,0,17,4,76,28,73,13,2,77,60,0,24,11,0,11,5,2,1,0,0,0,4,63997b7c716bd99326e6ef06,SBGIreland,Ireland,7,SBG Ireland,Dublin,6,191,72,85,18,15
0,0,0,0,39,0,0,0,1,1,0,0,8,0,0,1,0,132,0,79,2,0,0,57,0,0,0,0,0,0,0,0,0,0,20,0,0,53,0,3,2,2,37,25,0,0,24,6,322,170,173,72,5,103,84,0,81,45,9,6,3,39,26,0,0,0,5,63997c1ea22fb25e18fe16ea,TeixeiraMMA,USA,2,Teixeira MMA,Connecticut,6,201,159,169,66,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997660f7acf7e68f8e6606,AscensionMMA,USA,0,Ascension MMA,Georgia,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63997530a9447d5d6363edd4,011MMATeam,Brazil,0,011 MMA Team,Sao Paulo,0,0,0,0,0,0
