_id,date,eventName,fight0LOSER,fight0METHOD,fight0ROUND,fight0TIME,fight0WC,fight0WINNER,fight0aLink,fight0bLink,fight10LOSER,fight10METHOD,fight10ROUND,fight10TIME,fight10WC,fight10WINNER,fight10aLink,fight10bLink,fight11LOSER,fight11METHOD,fight11ROUND,fight11TIME,fight11WC,fight11WINNER,fight11aLink,fight11bLink,fight12LOSER,fight12METHOD,fight12ROUND,fight12TIME,fight12WC,fight12WINNER,fight12aLink,fight12bLink,fight13LOSER,fight13METHOD,fight13ROUND,fight13TIME,fight13WC,fight13WINNER,fight13aLink,fight13bLink,fight14LOSER,fight14METHOD,fight14ROUND,fight14TIME,fight14WC,fight14WINNER,fight14aLink,fight14bLink,fight1LOSER,fight1METHOD,fight1ROUND,fight1TIME,fight1WC,fight1WINNER,fight1aLink,fight1bLink,fight2LOSER,fight2METHOD,fight2ROUND,fight2TIME,fight2WC,fight2WINNER,fight2aLink,fight2bLink,fight3LOSER,fight3METHOD,fight3ROUND,fight3TIME,fight3WC,fight3WINNER,fight3aLink,fight3bLink,fight4LOSER,fight4METHOD,fight4ROUND,fight4TIME,fight4WC,fight4WINNER,fight4aLink,fight4bLink,fight5LOSER,fight5METHOD,fight5ROUND,fight5TIME,fight5WC,fight5WINNER,fight5aLink,fight5bLink,fight6LOSER,fight6METHOD,fight6ROUND,fight6TIME,fight6WC,fight6WINNER,fight6aLink,fight6bLink,fight7LOSER,fight7METHOD,fight7ROUND,fight7TIME,fight7WC,fight7WINNER,fight7aLink,fight7bLink,fight8LOSER,fight8METHOD,fight8ROUND,fight8TIME,fight8WC,fight8WINNER,fight8aLink,fight8bLink,fight9LOSER,fight9METHOD,fight9ROUND,fight9TIME,fight9WC,fight9WINNER,fight9aLink,fight9bLink,fightPage,location,promotionName,venue
6445bb35056c2dc45ac08204,"April 22, 2023 (2023-04-22)",UFC Fight Night Pavlovich vs Blaydes,Curtis Blaydes,TKO,1,3:08,Heavyweight,Sergei Pavlovich,https://www.fightstats.xyz/search?q=Sergei Pavlovich Profile,https://www.fightstats.xyz/search?q=Curtis Blaydes Profile,Danaa Batgerel,TKO,3,4:21,Bantamweight,Brady Hiestand,https://www.fightstats.xyz/search?q=Brady Hiestand Profile,https://www.fightstats.xyz/search?q=Danaa Batgerel Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brad Tavares,TKO,1,3:35,Middleweight,Bruno Silva,https://www.fightstats.xyz/search?q=Bruno Silva Profile,https://www.fightstats.xyz/search?q=Brad Tavares Profile,Jared Gordon,No contest,1,4:35,Lightweight,Bobby Green,https://www.fightstats.xyz/search?q=Bobby Green Profile,https://www.fightstats.xyz/search?q=Jared Gordon Profile,Brogan Walker-Sanchez,Decision,3,5:00,"Women's Flyweight",Iasmin Lucindo,https://www.fightstats.xyz/search?q=Iasmin Lucindo Profile,https://www.fightstats.xyz/search?q=Brogan Walker-Sanchez Profile,Matthew Semelsberger,Decision,3,5:00,Welterweight,Jeremiah Wells,https://www.fightstats.xyz/search?q=Jeremiah Wells Profile,https://www.fightstats.xyz/search?q=Matthew Semelsberger Profile,Ricky Glenn,KO,1,1:35,Lightweight,Christos Giagos,https://www.fightstats.xyz/search?q=Christos Giagos Profile,https://www.fightstats.xyz/search?q=Ricky Glenn Profile,Rani Yahya,KO,1,3:42,Bantamweight,Montel Jackson,https://www.fightstats.xyz/search?q=Montel Jackson Profile,https://www.fightstats.xyz/search?q=Rani Yahya Profile,Karol Rosa,Decision,3,5:00,"Women's Featherweight",Norma Dumont,https://www.fightstats.xyz/search?q=Norma Dumont Profile,https://www.fightstats.xyz/search?q=Karol Rosa Profile,Junior Tafa,Decision,3,5:00,Heavyweight,Mohammad Usman,https://www.fightstats.xyz/search?q=Mohammad Usman Profile,https://www.fightstats.xyz/search?q=Junior Tafa Profile,Francis Marshall,Decision,3,5:00,Catchweight (147 lb),William Gomis,https://www.fightstats.xyz/search?q=William Gomis Profile,https://www.fightstats.xyz/search?q=Francis Marshall Profile,,"Enterprise, Nevada",Ultimate Fighting Championship,UFC Apex
6445bb39056c2dc45ac08205,"April 15, 2023 (2023-04-15)",UFC on ESPN Holloway vs Allen,Arnold Allen,Decision,5,5:00,Featherweight,Max Holloway,https://www.fightstats.xyz/search?q=Max Holloway Profile,https://www.fightstats.xyz/search?q=Arnold Allen Profile,Lando Vannata,Decision,3,5:00,Lightweight,Daniel Zellhuber,https://www.fightstats.xyz/search?q=Daniel Zellhuber Profile,https://www.fightstats.xyz/search?q=Lando Vannata Profile,Bruna Brasil,TKO,2,2:42,"Women's Strawweight",Denise Gomes,https://www.fightstats.xyz/search?q=Denise Gomes Profile,https://www.fightstats.xyz/search?q=Bruna Brasil Profile,Aaron Phillips,Decision,3,5:00,Bantamweight,Gastón Bolaños,https://www.fightstats.xyz/search?q=Gastón Bolaños Profile,https://www.fightstats.xyz/search?q=Aaron Phillips Profile,Lucie Pudilová,Decision,3,5:00,Catchweight (136.5 lb),Joselyne Edwards,https://www.fightstats.xyz/search?q=Joselyne Edwards Profile,https://www.fightstats.xyz/search?q=Lucie Pudilová Profile,,,,,,,,,Billy Quarantillo,KO,1,2:37,Featherweight,Edson Barboza,https://www.fightstats.xyz/search?q=Edson Barboza Profile,https://www.fightstats.xyz/search?q=Billy Quarantillo Profile,Dustin Jacoby,Decision,3,5:00,Light Heavyweight,Azamat Murzakanov,https://www.fightstats.xyz/search?q=Azamat Murzakanov Profile,https://www.fightstats.xyz/search?q=Dustin Jacoby Profile,Tanner Boser,TKO,1,2:05,Light Heavyweight,Ion Cuțelaba,https://www.fightstats.xyz/search?q=Ion Cuțelaba Profile,https://www.fightstats.xyz/search?q=Tanner Boser Profile,Chris Gutiérrez,Decision,3,5:00,Bantamweight,Pedro Munhoz,https://www.fightstats.xyz/search?q=Pedro Munhoz Profile,https://www.fightstats.xyz/search?q=Chris Gutiérrez Profile,Clay Guida,Decision,3,5:00,Lightweight,Rafa García,https://www.fightstats.xyz/search?q=Rafa García Profile,https://www.fightstats.xyz/search?q=Clay Guida Profile,T.J. Brown,Submission,2,1:40,Featherweight,Bill Algeo,https://www.fightstats.xyz/search?q=Bill Algeo Profile,https://www.fightstats.xyz/search?q=T.J. Brown Profile,Matheus Nicolau,KO,1,2:09,Flyweight,Brandon Royval,https://www.fightstats.xyz/search?q=Brandon Royval Profile,https://www.fightstats.xyz/search?q=Matheus Nicolau Profile,Ed Herman,TKO,3,4:13,Light Heavyweight,Zak Cummings,https://www.fightstats.xyz/search?q=Zak Cummings Profile,https://www.fightstats.xyz/search?q=Ed Herman Profile,Piera Rodríguez,Submission,2,4:21,"Women's Strawweight",Gillian Robertson,https://www.fightstats.xyz/search?q=Gillian Robertson Profile,https://www.fightstats.xyz/search?q=Piera Rodríguez Profile,,Kansas City,Ultimate Fighting Championship,T-Mobile Center
6445bb3f056c2dc45ac08206,"April 8, 2023 (2023-04-08)",UFC 287 Pereira vs Adesanya 2,Alex Pereira (c),KO,2,4:21,Middleweight,Israel Adesanya,https://www.fightstats.xyz/search?q=Israel Adesanya Profile,https://www.fightstats.xyz/search?q=Alex Pereira (c) Profile,Shayilan Nuerdanbieke,KO,2,0:36,Featherweight,Steve Garcia,https://www.fightstats.xyz/search?q=Steve Garcia Profile,https://www.fightstats.xyz/search?q=Shayilan Nuerdanbieke Profile,Jaqueline Amorim,Decision,3,5:00,"Women's Strawweight",Sam Hughes,https://www.fightstats.xyz/search?q=Sam Hughes Profile,https://www.fightstats.xyz/search?q=Jaqueline Amorim Profile,,,,,,,,,,,,,,,,,,,,,,,,,Jorge Masvidal,Decision,3,5:00,Welterweight,Gilbert Burns,https://www.fightstats.xyz/search?q=Gilbert Burns Profile,https://www.fightstats.xyz/search?q=Jorge Masvidal Profile,Adrian Yanez,TKO,1,2:57,Bantamweight,Rob Font,https://www.fightstats.xyz/search?q=Rob Font Profile,https://www.fightstats.xyz/search?q=Adrian Yanez Profile,Santiago Ponzinibbio,KO,3,3:16,Welterweight,Kevin Holland,https://www.fightstats.xyz/search?q=Kevin Holland Profile,https://www.fightstats.xyz/search?q=Santiago Ponzinibbio Profile,Raul Rosas Jr.,Decision,3,5:00,Catchweight (137 lb),Christian Rodriguez,https://www.fightstats.xyz/search?q=Christian Rodriguez Profile,https://www.fightstats.xyz/search?q=Raul Rosas Jr. Profile,Chris Curtis,Decision,3,5:00,Middleweight,Kelvin Gastelum,https://www.fightstats.xyz/search?q=Kelvin Gastelum Profile,https://www.fightstats.xyz/search?q=Chris Curtis Profile,Michelle Waterson-Gomez,Decision,3,5:00,"Women's Strawweight",Luana Pinheiro,https://www.fightstats.xyz/search?q=Luana Pinheiro Profile,https://www.fightstats.xyz/search?q=Michelle Waterson-Gomez Profile,Gerald Meerschaert,TKO,1,3:15,Middleweight,Joe Pyfer,https://www.fightstats.xyz/search?q=Joe Pyfer Profile,https://www.fightstats.xyz/search?q=Gerald Meerschaert Profile,Cynthia Calvillo,Decision,3,5:00,"Women's Strawweight",Lupita Godinez,https://www.fightstats.xyz/search?q=Lupita Godinez Profile,https://www.fightstats.xyz/search?q=Cynthia Calvillo Profile,Trey Ogden,Decision,3,5:00,Catchweight (160 lb),Ignacio Bahamondes,https://www.fightstats.xyz/search?q=Ignacio Bahamondes Profile,https://www.fightstats.xyz/search?q=Trey Ogden Profile,,"Miami, Florida",Ultimate Fighting Championship,Kaseya Center
6445bb47056c2dc45ac08207,"March 25, 2023 (2023-03-25)",UFC on ESPN Vera vs Sandhagen,Marlon Vera,Decision,5,5:00,Bantamweight,Cory Sandhagen,https://www.fightstats.xyz/search?q=Cory Sandhagen Profile,https://www.fightstats.xyz/search?q=Marlon Vera Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yana Santos,Decision,3,5:00,"Women's Bantamweight",Holly Holm,https://www.fightstats.xyz/search?q=Holly Holm Profile,https://www.fightstats.xyz/search?q=Yana Santos Profile,Austin Lingo,Submission,2,4:11,Featherweight,Nate Landwehr,https://www.fightstats.xyz/search?q=Nate Landwehr Profile,https://www.fightstats.xyz/search?q=Austin Lingo Profile,Andrea Lee,Decision,3,5:00,"Women's Flyweight",Maycee Barber,https://www.fightstats.xyz/search?q=Maycee Barber Profile,https://www.fightstats.xyz/search?q=Andrea Lee Profile,Chidi Njokuani,Decision,3,5:00,Middleweight,Albert Duraev,https://www.fightstats.xyz/search?q=Albert Duraev Profile,https://www.fightstats.xyz/search?q=Chidi Njokuani Profile,Tucker Lutz,Submission,2,2:50,Featherweight,Daniel Pineda,https://www.fightstats.xyz/search?q=Daniel Pineda Profile,https://www.fightstats.xyz/search?q=Tucker Lutz Profile,Steven Peterson,Decision,3,5:00,Featherweight,Lucas Alexander,https://www.fightstats.xyz/search?q=Lucas Alexander Profile,https://www.fightstats.xyz/search?q=Steven Peterson Profile,Preston Parsons,Decision,3,5:00,Welterweight,Trevin Giles,https://www.fightstats.xyz/search?q=Trevin Giles Profile,https://www.fightstats.xyz/search?q=Preston Parsons Profile,Daniel da Silva,TKO,2,4:04,Flyweight,C.J. Vergara,https://www.fightstats.xyz/search?q=C.J. Vergara Profile,https://www.fightstats.xyz/search?q=Daniel da Silva Profile,Vinicius Salvador,Decision,3,5:00,Flyweight,Victor Altamirano,https://www.fightstats.xyz/search?q=Victor Altamirano Profile,https://www.fightstats.xyz/search?q=Vinicius Salvador Profile,,San Antonio,Ultimate Fighting Championship,AT&T Center
6445bb4c056c2dc45ac08208,"March 18, 2023 (2023-03-18)",UFC 286 Edwards vs Usman 3,Kamaru Usman,Decision,5,5:00,Welterweight,Leon Edwards (c),https://www.fightstats.xyz/search?q=Leon Edwards (c) Profile,https://www.fightstats.xyz/search?q=Kamaru Usman Profile,Duško Todorović,TKO,1,1:52,Middleweight,Christian Leroy Duncan,https://www.fightstats.xyz/search?q=Christian Leroy Duncan Profile,https://www.fightstats.xyz/search?q=Duško Todorović Profile,Malcolm Gordon,TKO,1,1:01,Catchweight (129.5 lb),Jake Hadley,https://www.fightstats.xyz/search?q=Jake Hadley Profile,https://www.fightstats.xyz/search?q=Malcolm Gordon Profile,Luana Carolina,Decision,3,5:00,"Women's Flyweight",Joanne Wood,https://www.fightstats.xyz/search?q=Joanne Wood Profile,https://www.fightstats.xyz/search?q=Luana Carolina Profile,Ľudovít Klein,Draw,3,5:00,Lightweight,Jai Herbert,https://www.fightstats.xyz/search?q=Jai Herbert Profile,https://www.fightstats.xyz/search?q=Ľudovít Klein Profile,Juliana Miller,Decision,3,5:00,"Women's Flyweight",Veronica Hardy,https://www.fightstats.xyz/search?q=Veronica Hardy Profile,https://www.fightstats.xyz/search?q=Juliana Miller Profile,Rafael Fiziev,Decision,3,5:00,Lightweight,Justin Gaethje,https://www.fightstats.xyz/search?q=Justin Gaethje Profile,https://www.fightstats.xyz/search?q=Rafael Fiziev Profile,Bryan Barberena,Submission,1,4:51,Welterweight,Gunnar Nelson,https://www.fightstats.xyz/search?q=Gunnar Nelson Profile,https://www.fightstats.xyz/search?q=Bryan Barberena Profile,"Casey O'Neill",Decision,3,5:00,"Women's Flyweight",Jennifer Maia,https://www.fightstats.xyz/search?q=Jennifer Maia Profile,"https://www.fightstats.xyz/search?q=Casey O'Neill Profile",Roman Dolidze,Decision,3,5:00,Middleweight,Marvin Vettori,https://www.fightstats.xyz/search?q=Marvin Vettori Profile,https://www.fightstats.xyz/search?q=Roman Dolidze Profile,Makwan Amirkhani,Submission,2,4:27,Featherweight,Jack Shore,https://www.fightstats.xyz/search?q=Jack Shore Profile,https://www.fightstats.xyz/search?q=Makwan Amirkhani Profile,Omar Morales,Decision,3,5:00,Lightweight,Chris Duncan,https://www.fightstats.xyz/search?q=Chris Duncan Profile,https://www.fightstats.xyz/search?q=Omar Morales Profile,Sam Patterson,KO,1,1:15,Lightweight,Yanal Ashmoz,https://www.fightstats.xyz/search?q=Yanal Ashmoz Profile,https://www.fightstats.xyz/search?q=Sam Patterson Profile,Jafel Filho,Submission,3,4:32,Flyweight,Muhammad Mokaev,https://www.fightstats.xyz/search?q=Muhammad Mokaev Profile,https://www.fightstats.xyz/search?q=Jafel Filho Profile,Gabriel Santos,Decision,3,5:00,Featherweight,Lerone Murphy,https://www.fightstats.xyz/search?q=Lerone Murphy Profile,https://www.fightstats.xyz/search?q=Gabriel Santos Profile,,London,Ultimate Fighting Championship,The O2 Arena
6445bb51056c2dc45ac08209,"March 11, 2023 (2023-03-11)",UFC Fight Night Yan vs Dvalishvili,Petr Yan,Decision,5,5:00,Bantamweight,Merab Dvalishvili,https://www.fightstats.xyz/search?q=Merab Dvalishvili Profile,https://www.fightstats.xyz/search?q=Petr Yan Profile,JJ Aldrich,Decision,3,5:00,"Women's Flyweight",Ariane Lipski,https://www.fightstats.xyz/search?q=Ariane Lipski Profile,https://www.fightstats.xyz/search?q=JJ Aldrich Profile,Tyson Nam,Technical,2,1:23,Flyweight,Bruno Gustavo da Silva,https://www.fightstats.xyz/search?q=Bruno Gustavo da Silva Profile,https://www.fightstats.xyz/search?q=Tyson Nam Profile,Jared Gooden,Decision,3,5:00,Catchweight (177 lb),Carlston Harris,https://www.fightstats.xyz/search?q=Carlston Harris Profile,https://www.fightstats.xyz/search?q=Jared Gooden Profile,,,,,,,,,,,,,,,,,Alexander Romanov,TKO,1,2:16,Heavyweight,Alexander Volkov,https://www.fightstats.xyz/search?q=Alexander Volkov Profile,https://www.fightstats.xyz/search?q=Alexander Romanov Profile,Ryan Spann,Submission,1,3:38,Catchweight (215 lb),Nikita Krylov,https://www.fightstats.xyz/search?q=Nikita Krylov Profile,https://www.fightstats.xyz/search?q=Ryan Spann Profile,Said Nurmagomedov,Decision,3,5:00,Bantamweight,Jonathan Martinez,https://www.fightstats.xyz/search?q=Jonathan Martinez Profile,https://www.fightstats.xyz/search?q=Said Nurmagomedov Profile,Guido Cannetti,Submission,1,3:18,Bantamweight,Mario Bautista,https://www.fightstats.xyz/search?q=Mario Bautista Profile,https://www.fightstats.xyz/search?q=Guido Cannetti Profile,Anton Turkalj,Decision,3,5:00,Light Heavyweight,Vitor Petrino,https://www.fightstats.xyz/search?q=Vitor Petrino Profile,https://www.fightstats.xyz/search?q=Anton Turkalj Profile,Łukasz Brzeski,Decision,3,5:00,Heavyweight,Karl Williams,https://www.fightstats.xyz/search?q=Karl Williams Profile,https://www.fightstats.xyz/search?q=Łukasz Brzeski Profile,Raphael Assunção,Technical,3,4:43,Bantamweight,Davey Grant,https://www.fightstats.xyz/search?q=Davey Grant Profile,https://www.fightstats.xyz/search?q=Raphael Assunção Profile,Sedriques Dumas,Submission,2,3:00,Middleweight,Josh Fremd,https://www.fightstats.xyz/search?q=Josh Fremd Profile,https://www.fightstats.xyz/search?q=Sedriques Dumas Profile,Tony Gravely,Decision,3,5:00,Bantamweight,Victor Henry,https://www.fightstats.xyz/search?q=Victor Henry Profile,https://www.fightstats.xyz/search?q=Tony Gravely Profile,,"Paradise, Nevada",Ultimate Fighting Championship,The Theater at Virgin Hotels
6445bb56056c2dc45ac0820a,"March 4, 2023 (2023-03-04)",UFC 285 Jones vs Gane,Ciryl Gane,Submission,1,2:04,Heavyweight,Jon Jones,https://www.fightstats.xyz/search?q=Jon Jones Profile,https://www.fightstats.xyz/search?q=Ciryl Gane Profile,Leomana Martinez,Decision,3,5:00,Catchweight (137 lb),Cameron Saaiman,https://www.fightstats.xyz/search?q=Cameron Saaiman Profile,https://www.fightstats.xyz/search?q=Leomana Martinez Profile,Jessica Penne,Submission,2,2:14,"Women's Strawweight",Tabatha Ricci,https://www.fightstats.xyz/search?q=Tabatha Ricci Profile,https://www.fightstats.xyz/search?q=Jessica Penne Profile,Da’Mon Blackshear,Decision,3,5:00,Bantamweight,Farid Basharat,https://www.fightstats.xyz/search?q=Farid Basharat Profile,https://www.fightstats.xyz/search?q=Da’Mon Blackshear Profile,Esteban Ribovics,Decision,3,5:00,Lightweight,Loik Radzhabov,https://www.fightstats.xyz/search?q=Loik Radzhabov Profile,https://www.fightstats.xyz/search?q=Esteban Ribovics Profile,,,,,,,,,Valentina Shevchenko (c),Submission,4,4:34,"Women's Flyweight",Alexa Grasso,https://www.fightstats.xyz/search?q=Alexa Grasso Profile,https://www.fightstats.xyz/search?q=Valentina Shevchenko (c) Profile,Geoff Neal,Submission,3,4:17,Catchweight (175 lb),Shavkat Rakhmonov,https://www.fightstats.xyz/search?q=Shavkat Rakhmonov Profile,https://www.fightstats.xyz/search?q=Geoff Neal Profile,Jalin Turner,Decision,3,5:00,Lightweight,Mateusz Gamrot,https://www.fightstats.xyz/search?q=Mateusz Gamrot Profile,https://www.fightstats.xyz/search?q=Jalin Turner Profile,Jamie Pickett,Submission,1,2:54,Middleweight,Bo Nickal,https://www.fightstats.xyz/search?q=Bo Nickal Profile,https://www.fightstats.xyz/search?q=Jamie Pickett Profile,Trevin Jones,Decision,3,5:00,Bantamweight,Cody Garbrandt,https://www.fightstats.xyz/search?q=Cody Garbrandt Profile,https://www.fightstats.xyz/search?q=Trevin Jones Profile,Derek Brunson,TKO,2,4:59,Middleweight,Dricus du Plessis,https://www.fightstats.xyz/search?q=Dricus du Plessis Profile,https://www.fightstats.xyz/search?q=Derek Brunson Profile,Viviane Araújo,Decision,3,5:00,"Women's Flyweight",Amanda Ribas,https://www.fightstats.xyz/search?q=Amanda Ribas Profile,https://www.fightstats.xyz/search?q=Viviane Araújo Profile,Julian Marquez,TKO,2,4:12,Middleweight,Marc-André Barriault,https://www.fightstats.xyz/search?q=Marc-André Barriault Profile,https://www.fightstats.xyz/search?q=Julian Marquez Profile,Song Kenan,TKO,3,4:22,Welterweight,Ian Garry,https://www.fightstats.xyz/search?q=Ian Garry Profile,https://www.fightstats.xyz/search?q=Song Kenan Profile,,"Paradise, Nevada",Ultimate Fighting Championship,T-Mobile Arena
6445bb5b056c2dc45ac0820b,"February 25, 2023 (2023-02-25)",UFC Fight Night Muniz vs Allen,André Muniz,Submission,3,4:25,Middleweight,Brendan Allen,https://www.fightstats.xyz/search?q=Brendan Allen Profile,https://www.fightstats.xyz/search?q=André Muniz Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Don'Tale Mayes",Decision,3,5:00,Heavyweight,Augusto Sakai,https://www.fightstats.xyz/search?q=Augusto Sakai Profile,"https://www.fightstats.xyz/search?q=Don'Tale Mayes Profile",Montana De La Rosa,Submission,2,2:51,"Women's Flyweight",Tatiana Suarez,https://www.fightstats.xyz/search?q=Tatiana Suarez Profile,https://www.fightstats.xyz/search?q=Montana De La Rosa Profile,Yohan Lainesse,Submission,1,4:15,Welterweight,Mike Malott,https://www.fightstats.xyz/search?q=Mike Malott Profile,https://www.fightstats.xyz/search?q=Yohan Lainesse Profile,Erick Gonzalez,KO,1,4:59,Lightweight,Trevor Peek,https://www.fightstats.xyz/search?q=Trevor Peek Profile,https://www.fightstats.xyz/search?q=Erick Gonzalez Profile,Gabriella Fernandes,Decision,3,5:00,"Women's Flyweight",Jasmine Jasudavicius,https://www.fightstats.xyz/search?q=Jasmine Jasudavicius Profile,https://www.fightstats.xyz/search?q=Gabriella Fernandes Profile,Victor Martinez,TKO,1,2:27,Lightweight,Jordan Leavitt,https://www.fightstats.xyz/search?q=Jordan Leavitt Profile,https://www.fightstats.xyz/search?q=Victor Martinez Profile,Charles Johnson,Decision,3,5:00,Catchweight (130 lb),"Ode' Osbourne","https://www.fightstats.xyz/search?q=Ode' Osbourne Profile",https://www.fightstats.xyz/search?q=Charles Johnson Profile,Carl Deaton III,Technical,2,4:55,Lightweight,Joe Solecki,https://www.fightstats.xyz/search?q=Joe Solecki Profile,https://www.fightstats.xyz/search?q=Carl Deaton III Profile,Rafael Alves,Decision,3,5:00,Lightweight,Nurullo Aliev,https://www.fightstats.xyz/search?q=Nurullo Aliev Profile,https://www.fightstats.xyz/search?q=Rafael Alves Profile,,"Enterprise, Nevada",Ultimate Fighting Championship,UFC Apex
6445bb5f056c2dc45ac0820c,"February 18, 2023 (2023-02-18)",UFC Fight Night Andrade vs Blanchfield,Jéssica Andrade,Submission,2,1:37,"Women's Flyweight",Erin Blanchfield,https://www.fightstats.xyz/search?q=Erin Blanchfield Profile,https://www.fightstats.xyz/search?q=Jéssica Andrade Profile,Juancamilo Ronderos,Submission,1,3:13,Flyweight,Clayton Carpenter,https://www.fightstats.xyz/search?q=Clayton Carpenter Profile,https://www.fightstats.xyz/search?q=Juancamilo Ronderos Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan Wright,Decision,3,5:00,Light Heavyweight,Zac Pauga,https://www.fightstats.xyz/search?q=Zac Pauga Profile,https://www.fightstats.xyz/search?q=Jordan Wright Profile,Josh Parisian,Decision,3,5:00,Heavyweight,Jamal Pogues,https://www.fightstats.xyz/search?q=Jamal Pogues Profile,https://www.fightstats.xyz/search?q=Josh Parisian Profile,William Knight,Decision,3,5:00,Light Heavyweight,Marcin Prachnio,https://www.fightstats.xyz/search?q=Marcin Prachnio Profile,https://www.fightstats.xyz/search?q=William Knight Profile,Jim Miller,Decision,3,5:00,Lightweight,Alexander Hernandez,https://www.fightstats.xyz/search?q=Alexander Hernandez Profile,https://www.fightstats.xyz/search?q=Jim Miller Profile,Evan Elder,TKO,3,0:38,Lightweight,Nazim Sadykhov,https://www.fightstats.xyz/search?q=Nazim Sadykhov Profile,https://www.fightstats.xyz/search?q=Evan Elder Profile,Lina Länsberg,Submission,2,4:46,"Women's Bantamweight",Mayra Bueno Silva,https://www.fightstats.xyz/search?q=Mayra Bueno Silva Profile,https://www.fightstats.xyz/search?q=Lina Länsberg Profile,Khusein Askhabov,Decision,3,5:00,Featherweight,Jamall Emmers,https://www.fightstats.xyz/search?q=Jamall Emmers Profile,https://www.fightstats.xyz/search?q=Khusein Askhabov Profile,Ovince Saint Preux,KO,1,0:49,Light Heavyweight,Philipe Lins,https://www.fightstats.xyz/search?q=Philipe Lins Profile,https://www.fightstats.xyz/search?q=Ovince Saint Preux Profile,Themba Gorimbo,Submission,2,1:37,Welterweight,A.J. Fletcher,https://www.fightstats.xyz/search?q=A.J. Fletcher Profile,https://www.fightstats.xyz/search?q=Themba Gorimbo Profile,,"Enterprise, Nevada",Ultimate Fighting Championship,UFC Apex
6445bb64056c2dc45ac0820d,"February 11, 2023 (2023-02-11)",UFC 284 Makhachev vs Volkanovski,Alexander Volkanovski,Decision,5,5:00,Lightweight,Islam Makhachev (c),https://www.fightstats.xyz/search?q=Islam Makhachev (c) Profile,https://www.fightstats.xyz/search?q=Alexander Volkanovski Profile,Elise Reed,Submission,2,0:44,"Women's Strawweight",Loma Lookboonmee,https://www.fightstats.xyz/search?q=Loma Lookboonmee Profile,https://www.fightstats.xyz/search?q=Elise Reed Profile,Shane Young,Decision,3,5:00,Featherweight,Blake Bilder,https://www.fightstats.xyz/search?q=Blake Bilder Profile,https://www.fightstats.xyz/search?q=Shane Young Profile,Zubaira Tukhugov,Decision,3,5:00,Catchweight (157.5 lb),Elves Brener,https://www.fightstats.xyz/search?q=Elves Brener Profile,https://www.fightstats.xyz/search?q=Zubaira Tukhugov Profile,,,,,,,,,,,,,,,,,Josh Emmett,Submission,2,4:19,Featherweight,Yair Rodríguez,https://www.fightstats.xyz/search?q=Yair Rodríguez Profile,https://www.fightstats.xyz/search?q=Josh Emmett Profile,Randy Brown,Submission,1,2:13,Welterweight,Jack Della Maddalena,https://www.fightstats.xyz/search?q=Jack Della Maddalena Profile,https://www.fightstats.xyz/search?q=Randy Brown Profile,Parker Porter,KO,1,1:06,Heavyweight,Justin Tafa,https://www.fightstats.xyz/search?q=Justin Tafa Profile,https://www.fightstats.xyz/search?q=Parker Porter Profile,Alonzo Menifield,Draw,3,5:00,Light Heavyweight,Jimmy Crute,https://www.fightstats.xyz/search?q=Jimmy Crute Profile,https://www.fightstats.xyz/search?q=Alonzo Menifield Profile,Tyson Pedro,Decision,3,5:00,Light Heavyweight,Modestas Bukauskas,https://www.fightstats.xyz/search?q=Modestas Bukauskas Profile,https://www.fightstats.xyz/search?q=Tyson Pedro Profile,Melsik Baghdasaryan,Submission,2,2:02,Featherweight,Joshua Culibao,https://www.fightstats.xyz/search?q=Joshua Culibao Profile,https://www.fightstats.xyz/search?q=Melsik Baghdasaryan Profile,Shannon Ross,TKO,1,0:59,Catchweight (127 lb),Kleydson Rodrigues,https://www.fightstats.xyz/search?q=Kleydson Rodrigues Profile,https://www.fightstats.xyz/search?q=Shannon Ross Profile,Francisco Prado,Decision,3,5:00,Lightweight,Jamie Mullarkey,https://www.fightstats.xyz/search?q=Jamie Mullarkey Profile,https://www.fightstats.xyz/search?q=Francisco Prado Profile,Don Shainis,Decision,3,5:00,Featherweight,Jack Jenkins,https://www.fightstats.xyz/search?q=Jack Jenkins Profile,https://www.fightstats.xyz/search?q=Don Shainis Profile,,Perth,Ultimate Fighting Championship,RAC Arena
