AHighImpact,Around1StrikesLanded,Around2StrikesLanded,Around3StrikesLanded,Around4StrikesLanded,Around5StrikesLanded,BHighImpact,Bround1StrikesLanded,Bround2StrikesLanded,Bround3StrikesLanded,Bround4StrikesLanded,Bround5StrikesLanded,Rounds,Time,_id,abodykick,aheadkick,ahooks,ajabs,alegkick,anumofknockdowns,anumofstuns,aoverhands,astance,astraights,asubattempt,atdattempt,atdmake,atdrate,auppercuts,bbodykick,bheadkick,bhooks,bjabs,blegkick,bnumofknockdowns,bnumofstuns,boverhands,bstance,bstraights,bsubattempt,btdattempt,btdmake,btdrate,buppercuts,containsName,eventCode,fightCode,fightDate,fightName,fighterA,fighterAName,fighterB,fighterBName,isTitleFight,methodOfFinish,weightClass
26,30,32,41,0,0,57,32,34,51,0,0,3,5:00,6480df36f33e253a01b305f1,2,0,17,48,18,0,0,0,Orthodox,17,0,0,0,0%,0,35,2,30,14,18,0,0,1,Switch,10,0,1,0,0%,0,Adrian Yanez Davey Grant,https://www.fightstats.xyz/search?q=ufcfightnight198vieravstate,FIGHTAdrianYanezDaveyGrantDangerousUFCFIGHTNIGHT198VIERAVSTATE,11/20/2021,Adrian Yanez vs Davey Grant UFC FIGHT NIGHT 198 VIERA VS TATE,https://www.fightstats.xyz/fighterdata/adrianyanez,Adrian Yanez,https://www.fightstats.xyz/fighterdata/daveygrantdangerous,Davey Grant,No,SD,Bantamweight
21,21,19,2,0,0,5,10,7,0,0,0,3,0:27,6480df38f33e253a01b305f2,7,1,12,7,2,2,1,0,Orthodox,11,0,0,0,0%,1,2,0,3,8,3,0,0,0,Switch,1,0,1,0,0%,0,Adrian Yanez Gustavo Lopez,https://www.fightstats.xyz/search?q=ufconespn21brunsonvsholland,FIGHTAdrianYanezGustavoLopezUFCONESPN21BRUNSONVSHOLLAND,3/20/2021,Adrian Yanez vs Gustavo Lopez UFC ON ESPN 21 BRUNSON VS HOLLAND,https://www.fightstats.xyz/fighterdata/adrianyanez,Adrian Yanez,https://www.fightstats.xyz/fighterdata/gustavolopez,Gustavo Lopez,No,KO,Bantamweight
14,37,40,0,0,0,11,64,11,0,0,0,2,2:11,6480df39f33e253a01b305f3,1,0,7,33,15,1,0,0,Orthodox,6,0,0,0,0%,2,3,3,3,54,3,0,0,1,Switch,7,0,0,0,0%,0,Adrian Yanez Randy Costa,https://www.fightstats.xyz/search?q=ufconespn27sandhagenvsdillashaw,FIGHTAdrianYanezRandyCostaTheZohanUFCONESPN27SANDHAGENVSDILLASHAW,7/24/2021,Adrian Yanez vs Randy Costa UFC ON ESPN 27 SANDHAGEN VS DILLASHAW,https://www.fightstats.xyz/fighterdata/adrianyanez,Adrian Yanez,https://www.fightstats.xyz/fighterinfo/randy-costa,Randy Costa,No,TKO,Bantamweight
16,29,0,0,0,0,5,16,0,0,0,0,1,3:49,6480df3bf33e253a01b305f4,0,0,17,2,0,1,2,0,Orthodox,3,0,0,0,0%,0,6,0,1,5,2,0,0,0,Switch,1,0,0,0,0%,0,Adrian Yanez Tony Kelley,https://www.fightstats.xyz/search?q=ufconespn37kattarvsemmett,FIGHTAdrianYanezTonyKelleyPrimeTimeUFCONESPN37KATTARVSEMMETT,6/18/2022,Adrian Yanez vs Tony Kelley UFC ON ESPN 37 KATTAR VS EMMETT,https://www.fightstats.xyz/fighterdata/adrianyanez,Adrian Yanez,https://www.fightstats.xyz/fighterinfo/tony-kelley,Tony Kelley,No,TKO,Catchweight
8,15,0,0,0,0,2,5,0,0,0,0,1,2:46,6480df3cf33e253a01b305f5,0,1,6,2,0,2,1,0,Orthodox,4,0,0,0,0%,1,0,0,1,0,0,0,0,1,Orthodox,0,0,3,0,0%,0,Adrian Yanez Victor Rodriguez,https://www.fightstats.xyz/search?q=ufcfightnight181hallvssilva,FIGHTAdrianYanezVictorRodriguezViciousUFCFIGHTNIGHT181HALLVSSILVA,10/31/2020,Adrian Yanez vs Victor Rodriguez UFC FIGHT NIGHT 181 HALL VS SILVA,https://www.fightstats.xyz/fighterdata/adrianyanez,Adrian Yanez,https://www.fightstats.xyz/fighterinfo/victor-rodriguez,Victor Rodriguez,No,KO,Bantamweight
7,30,28,31,0,0,3,10,12,5,0,0,3,5:00,6480df3ef33e253a01b305f6,2,2,1,3,12,1,0,0,Orthodox,0,0,0,0,0%,1,1,0,1,0,4,0,0,0,Orthodox,2,1,1,0,0%,0,Aleksandar Rakić Anthony Smith,https://www.fightstats.xyz/search?q=ufcfightnight175smithvsrakic,FIGHTAleksandarRakicAnthonySmithUFCFIGHTNIGHT175SMITHVSRAKIC,8/29/2020,Aleksandar Rakić vs Anthony Smith UFC FIGHT NIGHT 175 SMITH VS RAKIC,https://www.fightstats.xyz/fighterdata/aleksandarrakicrocket,Aleksandar Rakić,https://www.fightstats.xyz/fighterdata/anthonysmithlionheart,Anthony Smith,No,UD,LightHeavyweight
0,0,0,0,0,0,0,0,0,0,0,0,1,0:42,6480df3ff33e253a01b305f7,0,0,0,0,0,N/A,N/A,0,,0,N/A,N/A,0,0%,0,0,0,0,0,0,N/A,N/A,0,,0,N/A,N/A,0,0%,0,Aleksandar Rakić Jimi Manuwa,https://www.fightstats.xyz/search?q=ufcfightnight153gustafssonvssmith,FIGHTAleksandarRakicJimiManuwaUFCFIGHTNIGHT153GUSTAFSSONVSSMITH,6/1/2019,Aleksandar Rakić vs Jimi Manuwa UFC FIGHT NIGHT 153 GUSTAFSSON VS SMITH,https://www.fightstats.xyz/fighterdata/aleksandarrakicrocket,Aleksandar Rakić,https://www.fightstats.xyz/fighterinfo/jimi-manuwa,Jimi Manuwa,No,KO,Light Heavyweight
5,8,22,7,0,0,13,14,16,19,0,0,3,5:00,6480df41f33e253a01b305f8,3,0,0,6,12,0,0,0,Orthodox,2,0,2,0,0%,0,13,0,3,4,12,0,0,0,Switch,1,0,1,0,0%,0,Aleksandar Rakić Thiago Santos,https://www.fightstats.xyz/search?q=ufc259blachowiczvsadesanya,FIGHTAleksandarRakicThiagoSantosUFC259BLACHOWICZVSADESANYA,3/6/2021,Aleksandar Rakić vs Thiago Santos UFC 259 BLACHOWICZ VS ADESANYA,https://www.fightstats.xyz/fighterdata/aleksandarrakicrocket,Aleksandar Rakić,https://www.fightstats.xyz/fighterdata/thiagosantosmarreta,Thiago Santos,No,UD,LightHeavyweight
0,25,3,0,0,0,1,16,1,0,0,0,2,0:18,6480df43f33e253a01b305f9,0,0,0,0,2,1,0,0,Orthodox,0,0,0,0,0%,0,0,0,1,0,1,0,0,0,Orthodox,0,0,3,1,33.3%,0,Alex Pereira Andreas Michailidis,https://www.fightstats.xyz/search?q=ufc268usmanvscovington2,FIGHTAlexPereiraPoatanAndreasMichailidisSpartanUFC268USMANVSCOVINGTON2,11/6/2021,Alex Pereira vs Andreas Michailidis UFC 268 USMAN VS COVINGTON 2,https://www.fightstats.xyz/fighterdata/alexpereirapoatan,Alex Pereira,https://www.fightstats.xyz/fighterinfo/andreas-michailidis,Andreas Michailidis,No,TKO,Middleweight
0,22,31,48,0,0,0,12,22,17,0,0,3,5:00,6480df44f33e253a01b305fa,0,0,0,0,0,0,2,0,Orthodox,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,Switch,0,0,7,3,42.9%,0,Alex Pereira Bruno Silva,https://www.fightstats.xyz/search?q=ufcfightnight203santosvsankalaev,FIGHTAlexPereiraPoatanBrunoSilvaBulldogUFCFIGHTNIGHT203SANTOSVSANKALAEV,3/12/2022,Alex Pereira vs Bruno Silva UFC FIGHT NIGHT 203 SANTOS VS ANKALAEV,https://www.fightstats.xyz/fighterdata/alexpereirapoatan,Alex Pereira,https://www.fightstats.xyz/fighterdata/brunosilvabulldog,Bruno Silva,No,UD,Middleweight
