Date,FightPage,LabelText,Loser,LoserPage,LoserTD,LoserTotalStrikes,Result,Rounds,Winner,WinnerPage,WinnerTD,WinnerTotalStrikes,_id
11/20/2021,https://www.fightstats.xyz/fightdata/Adrian Yanez vs Davey Grant UFC FIGHT NIGHT 198 VIERA VS TATE,View Stats,Davey Grant,https://www.fightstats.xyz/fighterdata/DaveyGrantDangerous,0,117,Decision,3,Adrian Yanez,https://www.fightstats.xyz/fighterdata/AdrianYanez,0,103,6480e2110c937cf49440c2d1
3/20/2021,https://www.fightstats.xyz/fightdata/Adrian Yanez vs Gustavo Lopez UFC ON ESPN 21 BRUNSON VS HOLLAND,View Stats,Gustavo Lopez,https://www.fightstats.xyz/fighterdata/GustavoLopez,0,17,KO,3,Adrian Yanez,https://www.fightstats.xyz/fighterdata/AdrianYanez,0,42,6480e2110c937cf49440c2d2
7/24/2021,https://www.fightstats.xyz/fightdata/Adrian Yanez vs Randy Costa UFC ON ESPN 27 SANDHAGEN VS DILLASHAW,View Stats,Randy Costa,https://www.fightstats.xyz/fighter/Randy Costa,0,75,TKO,2,Adrian Yanez,https://www.fightstats.xyz/fighterdata/AdrianYanez,0,77,6480e2120c937cf49440c2d3
6/18/2022,https://www.fightstats.xyz/fightdata/Adrian Yanez vs Tony Kelley UFC ON ESPN 37 KATTAR VS EMMETT,View Stats,Tony Kelley,https://www.fightstats.xyz/fighter/Tony Kelley,0,16,TKO,1,Adrian Yanez,https://www.fightstats.xyz/fighterdata/AdrianYanez,0,29,6480e2120c937cf49440c2d4
10/31/2020,https://www.fightstats.xyz/fightdata/Adrian Yanez vs Victor Rodriguez UFC FIGHT NIGHT 181 HALL VS SILVA,View Stats,Victor Rodriguez,https://www.fightstats.xyz/fighter/Victor Rodriguez,0,5,KO,1,Adrian Yanez,https://www.fightstats.xyz/fighterdata/AdrianYanez,0,15,6480e2130c937cf49440c2d5
8/29/2020,https://www.fightstats.xyz/fightdata/Aleksandar Rakić vs Anthony Smith UFC FIGHT NIGHT 175 SMITH VS RAKIC,View Stats,Anthony Smith,https://www.fightstats.xyz/fighterdata/AnthonySmithLionheart,0,27,Decision,3,Aleksandar Rakic,https://www.fightstats.xyz/fighterdata/AleksandarRakicRocket,0,89,6480e2130c937cf49440c2d6
6/1/2019,https://www.fightstats.xyz/fightdata/Aleksandar Rakić vs Jimi Manuwa UFC FIGHT NIGHT 153 GUSTAFSSON VS SMITH,View Stats,Jimi Manuwa,https://www.fightstats.xyz/fighter/Jimi Manuwa,0,0,KO,1,Aleksandar Rakic,https://www.fightstats.xyz/fighterdata/AleksandarRakicRocket,0,0,6480e2140c937cf49440c2d7
3/6/2021,https://www.fightstats.xyz/fightdata/Aleksandar Rakić vs Thiago Santos UFC 259 BLACHOWICZ VS ADESANYA,View Stats,Thiago Santos,https://www.fightstats.xyz/fighterdata/ThiagoSantosMarreta,0,49,Decision,3,Aleksandar Rakic,https://www.fightstats.xyz/fighterdata/AleksandarRakicRocket,0,37,6480e2140c937cf49440c2d8
11/6/2021,https://www.fightstats.xyz/fightdata/Alex Pereira vs Andreas Michailidis UFC 268 USMAN VS COVINGTON 2,View Stats,Andreas Michailidis,https://www.fightstats.xyz/fighter/Andreas Michailidis,1,17,TKO,2,Alex Pereira,https://www.fightstats.xyz/fighterdata/AlexPereiraPoatan,0,28,6480e2150c937cf49440c2d9
3/12/2022,https://www.fightstats.xyz/fightdata/Alex Pereira vs Bruno Silva UFC FIGHT NIGHT 203 SANTOS VS ANKALAEV,View Stats,Bruno Silva,https://www.fightstats.xyz/fighterdata/BrunoSilvaBulldog,3,51,Decision,3,Alex Pereira,https://www.fightstats.xyz/fighterdata/AlexPereiraPoatan,0,101,6480e2150c937cf49440c2da
